,title,authors,venue,year
A_259,composing web services on the semantic web,"athman bouguettaya , brahim medjahed , ahmed k. elmagarmid",vldb j.,2003
A_260,irisnet : internet-scale resource-intensive sensor services,"amol deshpande , suman kumar nath , phillip b. gibbons , srinivasan seshan",sigmod conference,2003
A_261,range queries in olap data cubes,"ching-tien ho , rakesh agrawal , nimrod megiddo , ramakrishnan srikant",sigmod conference,1997
A_262,a characterization of the sensitivity of query optimization to storage access cost parameters,"tapas kanungo , frederick reiss",sigmod conference,2003
A_263,online dynamic reordering for interactive data processing,"bhaskaran raman , joseph m. hellerstein , vijayshankar raman",vldb,1999
A_264,progressive evaluation of nested aggregate queries,"cheng hian goh , beng chin ooi , kian-lee tan",vldb j.,2000
A_265,the incinerate data model,h. v. jagadish,acm trans . database syst .,1995
A_266,semantic interoperability in global information systems : a brief introduction to the research area and the special section,"amit p. sheth , aris m. ouksel",sigmod record,1999
A_267,lambda-db : an odmg-based object-oriented dbms,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",sigmod conference,2000
A_268,data access for the masses through ole db,josé a. blakeley,sigmod conference,1996
A_269,integration of spatial join algorithms for processing multiple inputs,"nikos mamoulis , dimitris papadias",sigmod conference,1999
A_270,report on the mobile search workshop at www 2002,"bay-wei chang , yoëlle s. maarek , aya soffer",sigmod record,2002
A_271,spatial hash-joins,"ming-ling lo , chinya v. ravishankar",sigmod conference,1996
A_272,the tv-tree : an index structure for high-dimensional data,"king-ip lin , h. v. jagadish , christos faloutsos",vldb j.,1994
A_273,cumulative updates,"beat wüthrich , suryanarayana m. sripada",vldb,1994
A_274,report on the 17th brazilian symposium on database systems ( sbbd 2002 ),"nina edelweiss , ana carolina salgado",sigmod record,2003
A_275,accessibility of the database literature,richard t. snodgrass,sigmod record,2001
A_276,too much middleware,michael stonebraker,sigmod record,2002
A_277,will database researchers have any role in data security ? ( panel abstract ),arnon rosenthal,sigmod conference,2001
A_278,"50,000 users on an oracle8 universal server database","ashok josji , tirthankar lahiri , amit jasuja , sumanta chatterjee",sigmod conference,1998
A_279,approximate query translation across heterogeneous information sources,"hector garcia-molina , kevin chen-chuan chang",vldb,2000
A_280,media360 workflow-implementing a workflow engine inside a database,carsten blecken,vldb,2000
A_281,statistical schema matching across web query interfaces,"bin he , kevin chen-chuan chang",sigmod conference,2003
A_282,constant time permutation : an efficient block allocation strategy for variable-bit-rate continuous media data,"jen-wen ding , yueh-min huang , shiao-li tsao",vldb j.,1999
A_283,cache investment : integrating query optimization and distributed data placement,"donald kossmann , gerhard drasch , michael j. franklin",acm trans . database syst .,2000
A_284,editor 's notes,michael j. franklin,sigmod record,1997
A_285,information director 's message,alberto o. mendelzon,sigmod record,1998
A_286,continuous queries over data streams,"jennifer widom , shivnath babu",sigmod record,2001
A_287,converting relational to object-oriented databases,joseph fong,sigmod record,1997
A_288,enhancing database correctness : a statistical approach,"wen-chi hou , zhongyang zhang",sigmod conference,1995
A_289,constructing the next 100 database management systems,"andreas geppert , klaus r. dittrich",sigmod record,1994
A_290,efficient computation of iceberg cubes with complex measures,"guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,2001
A_291,a fast index for semistructured data,"brian cooper , gísli r. hjaltason , michael j. franklin , neal sample , moshe shadmon",vldb,2001
A_292,a monte carlo algorithm for fast projective clustering,"michael jones , pankaj k. agarwal , t. m. murali , cecilia magdalena procopiuc",sigmod conference,2002
A_293,towards a database body of knowledge : a study from spain,"mario piattini , francisco ruiz , coral calero",sigmod record,2003
A_294,bibfinder/statminer : effectively mining and using coverage and overlap statistics in data integration,"subbarao kambhampati , zaiqing nie , thomas hernandez",vldb,2003
A_295,software as a service : asp and asp aggregation,christoph bussler,sigmod conference,2002
A_296,cheetah : a lightweight transaction server for plug-and-play internet data management,"gustavo alonso , guy pardon",vldb,2000
A_297,dimacs summer school tutorial on new frontiers in data mining,"nick koudas , dimitrios gunopulos",sigmod record,2001
A_298,principles of optimally placing data in tertiary storage libraries,"fenia zioga , peter triantafillou , stavros christodoulakis",vldb,1997
A_299,flexible support for multiple access control policies,"v. s. subrahmanian , sushil jajodia , pierangela samarati , maria luisa sapino",acm trans . database syst .,2001
A_300,aries/csa : a method for database recovery in client-server architectures,"c. mohan , inderpal narang",sigmod conference,1994
A_301,providing better support for a class of decision support queries,"antonio badia , dirk van gucht , sudhir rao",sigmod conference,1996
A_302,spatio-temporal retrieval with rasdaman,"peter baumann , norbert widmann , roland ritsch , paula furtado , andreas dehmel",vldb,1999
A_303,"tcp-d - the challenges , issues and results",ramesh bhashyam,sigmod record,1996
A_304,reminiscences on influential papers,"per-åke larson , luis gravano , stefano ceri , leonid libkin , tova milo , kenneth a. ross",sigmod record,2001
A_305,computing iceberg queries efficiently,"hector garcia-molina , narayanan shivakumar , jeffrey d. ullman , rajeev motwani , min fang",vldb,1998
A_306,paradise : a database system for gis applications,paradise team,sigmod conference,1995
A_307,"very large databases : how large , how different ?",david vaskevitch,vldb,1995
A_308,automatic segmentation of text into structured records,"vinayak r. borkar , sunita sarawagi , kaustubh deshmukh",sigmod conference,2001
A_309,xperanto : middleware for publishing object-relational data as xml documents,"michael j. carey , subbu n. subramanian , eugene j. shekita , jerry kiernan , jayavel shanmugasundaram",vldb,2000
A_310,bit-sliced index arithmetic,"elizabeth j. o'neil , denis rinfret , patrick e. o'neil",sigmod conference,2001
A_311,treasurer 's message,joachim hammer,sigmod record,2001
A_312,a hypertext query language for images,li yang,sigmod record,1994
A_313,the bucky object-relational benchmark ( experience paper ),"jeffrey f. naughton , michael j. carey , dhaval shah , johannes gehrke , mohammad asgarian , david j. dewitt , paul brown",sigmod conference,1997
A_314,view management in multimedia databases,"v. s. subrahmanian , eric lemar , k. selçuk candan",vldb j.,2000
A_315,"declarative data cleaning : language , model , and algorithms","daniela florescu , cristian-augustin saita , eric simon , dennis shasha , helena galhardas",vldb,2001
A_316,banks : browsing and keyword searching in relational databases,"arvind hulgeri , gaurav bhalotia , soumen chakrabarti , parag , s. sudarshan , charuta nakhe , b. aditya",vldb,2002
A_317,garbage collection in object-oriented databases using transactional cyclic reference counting,"s. sudarshan , prasan roy , abraham silberschatz , srinivas ashwin , s. seshadri",vldb j.,1998
A_318,xpress : a queriable compression for xml data,"myung-jae park , jun-ki min , chin-wan chung",sigmod conference,2003
A_319,a novel index supporting high volume data warehouse insertion,"anindya datta , chris jermaine , edward omiecinski",vldb,1999
A_320,coloring away communication in parallel query optimization,"rajeev motwani , waqar hasan",vldb,1995
A_321,sensor data mining : similarity search and pattern analysis,christos faloutsos,vldb,2002
A_322,privacy-preserving indexing of documents on the network,"mayank bawa , rakesh agrawal , roberto j. bayardo jr.",vldb,2003
A_323,serf : odmg-based generic re-structuring facility,"stacia de lima , li chen , ming li , s. weiner , chandrakant natarajan , elke a. rundensteiner , xin zhang , kajal t. claypool , jing jin",sigmod conference,1999
A_324,multiview access protocols for large-scale replication,"weimin du , xiangning liu , abdelsalam helal",acm trans . database syst .,1998
A_325,the case for enhanced abstract data types,"raghu ramakrishnan , miron livny , praveen seshadri",vldb,1997
A_326,"probe , count , and classify : categorizing hidden web databases","mehran sahami , panagiotis g. ipeirotis , luis gravano",sigmod conference,2001
A_327,the role of integrity constraints in database interoperation,"peter m. g. apers , mark w. w. vermeer",vldb,1996
A_328,m-tree : an efficient access method for similarity search in metric spaces,"paolo ciaccia , pavel zezula , marco patella",vldb,1997
A_329,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"james geller , ashish mehta , erich j. neuhold , yehoshua perl",vldb j.,1998
A_330,metadata standards for data warehousing : open information model vs. common warehouse metamodel,"anca vaduva , thomas vetterli , martin staudt",sigmod record,2000
A_331,comprehension syntax,"limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin",sigmod record,1994
A_332,fast subsequence matching in time-series databases,"m. ranganathan , christos faloutsos , yannis manolopoulos",sigmod conference,1994
A_333,querying structured text in an xml database,"h. v. jagadish , shurug al-khalifa , cong yu",sigmod conference,2003
A_334,online scaling in a highly available database,"svein erik bratsberg , rune humborstad",vldb,2001
A_335,approximate computation of multidimensional aggregates of sparse data using wavelets,"min wang , jeffrey scott vitter",sigmod conference,1999
A_336,discovering web services : an overview,vadim draluk,vldb,2001
A_337,coordinating backup/recovery and data consistency between database and file systems,"c. mohan , inderpal narang , suparna bhattacharya , karen brannon , hui-i hsiao , mahadevan subramanian",sigmod conference,2002
A_338,chair 's message,richard t. snodgrass,sigmod record,1997
A_339,an ultra highly available dbms,"svein-olaf hvasshovd , svein erik bratsberg , øystein torbjørnsen",vldb,2000
A_340,progressive merge join : a generic and non-blocking sort-based join algorithm,"jens-peter dittrich , peter widmayer , david scot taylor , bernhard seeger",vldb,2002
